Timestamp,Date,Company_Name,Product_ID,Product_Category,Product_SubCategory,Region/Location,Customer_Gender,Price,Discount (%),Marketing_Spend,Holiday_Flag,Season,Stock_Level,Competitor_Price,Units_Sold
2024-08-22 02:09:39,2023-03-18,Puma,P00170,Footwear,Sandals,South India,Male,3367.12,2.1,285.18,0,Summer,109,3475.59,16
2023-02-21 02:44:21,2023-08-31,Reliance Digital,P00323,Electronics,Laptop,North India,Male,117098.79,13.0,158.81,0,Monsoon,31,122754.24,7
2023-08-28 07:13:13,2022-11-21,Croma,P00336,Electronics,Smartphone,South India,Male,10804.33,40.4,773.93,0,Festive,63,10021.47,10
2020-05-09 22:59:09,2023-05-31,Uniqlo,P00232,Clothing,Kurta,South India,Female,2015.39,23.7,395.0,0,Summer,32,1915.42,20
2023-02-06 22:23:14,2022-01-16,Levi's,P00184,Clothing,T-Shirts,East India,Female,1306.36,4.6,333.17,0,Winter,153,1296.63,16
2023-01-16 16:11:24,2022-12-02,Max Fashion,P00275,Footwear,Sandals,North India,Male,2506.97,3.6,586.84,0,Winter,174,2496.93,7
2022-02-14 06:17:08,2022-09-15,H&M,P00032,Clothing,Accessories,South India,Female,775.8,9.5,872.98,0,Monsoon,143,802.28,13
2023-01-03 20:11:24,2023-05-12,Puma,P00177,Clothing,Accessories,North India,Female,2084.92,2.0,218.39,0,Summer,70,1933.35,15
2021-04-25 04:19:55,2022-06-09,Reliance Trends,P00065,Clothing,Jackets,West India,Female,4618.74,15.2,350.16,0,Summer,209,4451.83,5
2021-05-19 21:00:35,2023-04-20,Levi's,P00198,Clothing,Jeans,South India,Female,3354.72,2.4,1118.77,0,Summer,49,3433.21,16
2023-07-04 22:53:58,2023-10-26,Zara,P00027,Footwear,Shoes,South India,Male,2917.12,28.7,394.33,0,Festive,170,2973.95,10
2021-07-11 06:06:01,2023-11-21,Puma,P00151,Clothing,Jeans,North India,Female,3177.59,36.3,904.47,0,Festive,301,3204.4,32
2023-07-03 03:33:30,2023-11-06,Reliance Digital,P00303,Electronics,Headphones,East India,Male,11344.58,47.3,97.51,0,Festive,43,10474.43,13
2022-04-08 22:28:32,2023-01-15,Decathlon,P00268,Clothing,Kurta,South India,Female,2428.37,3.8,266.72,0,Winter,78,2404.59,8
2020-12-01 20:11:38,2023-06-29,Reliance Trends,P00085,Clothing,Accessories,South India,Female,1231.29,10.7,261.83,0,Summer,59,1147.53,16
2020-04-30 07:30:56,2023-11-22,Reliance Trends,P00066,Clothing,Jeans,West India,Female,2512.73,20.4,628.39,0,Festive,156,2519.28,16
